EVALUASI SISTEM PEMANTAUAN BANJIR BENDUNGAN CIAWI,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Pemantauan Per Jam (Maret 2023 – Juli 2026) & Analisis Outflow 100% Konduit,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Pemutakhiran,,,,,,Metode UPB,,,,,,Pedoman OP & RTD Bendungan,,,,,,
50,3/13/2023,12:00:00 PM,508.50,4.10,,"1,046.39",,,,,,,2.02,0.00,2.02,2.02,0.00,Normal,56.80,0.00,56.80,Siaga Banjir IV,54.78,-0.96,,,
51,3/13/2023,4:00:00 PM,508.40,4.10,,925.12,,,,,,,1.01,0.00,1.01,1.00,0.00,Normal,56.17,0.00,56.17,Siaga Banjir IV,55.16,-0.98,,,
52,3/13/2023,8:00:00 PM,508.40,4.10,,925.12,,,,,,,1.01,0.00,1.01,1.01,0.00,Normal,56.17,0.00,56.17,Siaga Banjir IV,55.16,-0.98,,,
53,3/14/2023,8:00:00 AM,508.40,4.10,,925.12,,,,,,,1.01,0.00,1.01,1.01,0.00,Normal,56.17,0.00,56.17,Siaga Banjir IV,55.16,-0.98,,,
54,3/14/2023,12:00:00 PM,508.50,4.10,,"1,046.39",,,,,,,2.02,0.00,2.02,2.03,0.01,Normal,56.80,0.00,56.80,Siaga Banjir IV,54.78,-0.96,,,
55,3/14/2023,4:00:00 PM,508.40,4.10,,925.12,,,,,,,1.01,0.00,1.01,1.00,0.00,Normal,56.17,0.00,56.17,Siaga Banjir IV,55.16,-0.98,,,
56,3/14/2023,8:00:00 PM,508.50,4.10,,"1,046.39",,,,,,,2.02,0.00,2.02,2.03,0.01,Normal,56.80,0.00,56.80,Siaga Banjir IV,54.78,-0.96,,,
57,3/15/2023,8:00:00 AM,508.50,4.10,,"1,046.39",,,,,,,2.02,0.00,2.02,2.02,0.00,Normal,56.80,0.00,56.80,Siaga Banjir IV,54.78,-0.96,,,
58,3/15/2023,12:00:00 PM,508.50,4.10,,"1,046.39",,,,,,,2.02,0.00,2.02,2.02,0.00,Normal,56.80,0.00,56.80,Siaga Banjir IV,54.78,-0.96,,,
59,3/15/2023,4:00:00 PM,508.50,4.10,,"1,046.39",,,,,,,2.02,0.00,2.02,2.02,0.00,Normal,56.80,0.00,56.80,Siaga Banjir IV,54.78,-0.96,,,
60,3/15/2023,8:00:00 PM,508.50,4.10,,"1,046.39",,,,,,,2.02,0.00,2.02,2.02,0.00,Normal,56.80,0.00,56.80,Siaga Banjir IV,54.78,-0.96,,,
61,3/16/2023,8:00:00 AM,508.45,4.10,,985.75,,,,,,,1.52,0.00,1.52,1.51,0.00,Normal,56.48,0.00,56.48,Siaga Banjir IV,54.97,-0.97,,,
62,3/16/2023,12:00:00 PM,508.45,4.10,,985.75,,,,,,,1.52,0.00,1.52,1.52,0.00,Normal,56.48,0.00,56.48,Siaga Banjir IV,54.97,-0.97,,,
63,3/16/2023,4:00:00 PM,508.40,4.10,,925.12,,,,,,,1.01,0.00,1.01,1.01,0.00,Normal,56.17,0.00,56.17,Siaga Banjir IV,55.16,-0.98,,,
64,3/16/2023,8:00:00 PM,508.40,4.10,,925.12,,,,,,,1.01,0.00,1.01,1.01,0.00,Normal,56.17,0.00,56.17,Siaga Banjir IV,55.16,-0.98,,,
65,3/17/2023,8:00:00 AM,508.40,4.10,,925.12,,,,,,,1.01,0.00,1.01,1.01,0.00,Normal,56.17,0.00,56.17,Siaga Banjir IV,55.16,-0.98,,,
66,3/17/2023,12:00:00 PM,508.40,4.10,,925.12,,,,,,,1.01,0.00,1.01,1.01,0.00,Normal,56.17,0.00,56.17,Siaga Banjir IV,55.16,-0.98,,,
67,3/17/2023,4:00:00 PM,508.40,4.10,,925.12,,,,,,,1.01,0.00,1.01,1.01,0.00,Normal,56.17,0.00,56.17,Siaga Banjir IV,55.16,-0.98,,,
68,3/17/2023,8:00:00 PM,511.00,4.10,,"8,620.58",,,,,,,31.83,0.00,31.83,32.37,0.53,Siaga Banjir IV,89.70,0.00,89.70,Siaga Banjir IV,57.87,-0.65,,,
69,3/18/2023,8:00:00 AM,508.50,4.10,,"1,046.39",,,,,,,2.02,0.00,2.02,1.84,0.00,Normal,56.80,0.00,56.80,Siaga Banjir IV,54.78,-0.96,,,
70,3/18/2023,12:00:00 PM,508.50,4.10,,"1,046.39",,,,,,,2.02,0.00,2.02,2.02,0.00,Normal,56.80,0.00,56.80,Siaga Banjir IV,54.78,-0.96,,,
71,3/18/2023,4:00:00 PM,508.45,4.10,,985.75,,,,,,,1.52,0.00,1.52,1.51,0.00,Normal,56.48,0.00,56.48,Siaga Banjir IV,54.97,-0.97,,,
72,3/18/2023,8:00:00 PM,509.50,4.10,,"2,922.62",,,,,,,11.33,0.00,11.33,11.47,0.13,Normal,67.66,0.00,67.66,Siaga Banjir IV,56.32,-0.83,,,
73,3/19/2023,8:00:00 AM,508.56,4.10,,"1,119.15",,,,,,,2.63,0.00,2.63,2.58,0.00,Normal,57.17,0.00,57.17,Siaga Banjir IV,54.55,-0.95,,,
74,3/19/2023,12:00:00 PM,508.58,4.10,,"1,143.41",,,,,,,2.83,0.00,2.83,2.83,0.00,Normal,57.30,0.00,57.30,Siaga Banjir IV,54.47,-0.95,,,
75,3/19/2023,4:00:00 PM,509.00,4.10,,"1,652.76",,,,,,,7.07,0.00,7.07,7.11,0.04,Normal,59.93,0.00,59.93,Siaga Banjir IV,52.86,-0.88,,,
76,3/19/2023,8:00:00 PM,509.00,4.10,,"1,652.76",,,,,,,7.07,0.00,7.07,7.07,0.00,Normal,59.93,0.00,59.93,Siaga Banjir IV,52.86,-0.88,,,
77,3/20/2023,8:00:00 AM,508.52,4.10,,"1,070.64",,,,,,,2.22,0.00,2.22,2.21,0.00,Normal,56.92,0.00,56.92,Siaga Banjir IV,54.70,-0.96,,,
78,3/20/2023,12:00:00 PM,508.40,4.10,,925.12,,,,,,,1.01,0.00,1.01,1.00,0.00,Normal,56.17,0.00,56.17,Siaga Banjir IV,55.16,-0.98,,,
79,3/20/2023,4:00:00 PM,508.70,4.10,,"1,288.94",,,,,,,4.04,0.00,4.04,4.07,0.03,Normal,58.05,0.00,58.05,Siaga Banjir IV,54.01,-0.93,,,
80,3/20/2023,8:00:00 PM,509.60,4.10,,"3,176.59",,,,,,,12.15,0.00,12.15,12.28,0.13,Normal,69.20,0.00,69.20,Siaga Banjir IV,57.05,-0.82,,,
81,3/21/2023,8:00:00 AM,508.60,4.10,,"1,167.66",,,,,,,3.03,0.00,3.03,2.98,0.00,Normal,57.42,0.00,57.42,Siaga Banjir IV,54.39,-0.95,,,
82,3/21/2023,12:00:00 PM,508.60,4.10,,"1,167.66",,,,,,,3.03,0.00,3.03,3.03,0.00,Normal,57.42,0.00,57.42,Siaga Banjir IV,54.39,-0.95,,,
83,3/21/2023,4:00:00 PM,508.50,4.10,,"1,046.39",,,,,,,2.02,0.00,2.02,2.01,0.00,Normal,56.80,0.00,56.80,Siaga Banjir IV,54.78,-0.96,,,
84,3/21/2023,8:00:00 PM,508.50,4.10,,"1,046.39",,,,,,,2.02,0.00,2.02,2.02,0.00,Normal,56.80,0.00,56.80,Siaga Banjir IV,54.78,-0.96,,,
85,3/22/2023,8:00:00 AM,508.60,4.10,,"1,167.66",,,,,,,3.03,0.00,3.03,3.03,0.00,Normal,57.42,0.00,57.42,Siaga Banjir IV,54.39,-0.95,,,
86,3/22/2023,12:00:00 PM,508.60,4.10,,"1,167.66",,,,,,,3.03,0.00,3.03,3.03,0.00,Normal,57.42,0.00,57.42,Siaga Banjir IV,54.39,-0.95,,,
87,3/22/2023,4:00:00 PM,508.55,4.10,,"1,107.03",,,,,,,2.53,0.00,2.53,2.52,0.00,Normal,57.11,0.00,57.11,Siaga Banjir IV,54.58,-0.96,,,
88,3/22/2023,8:00:00 PM,508.80,4.10,,"1,410.21",,,,,,,5.05,0.00,5.05,5.07,0.02,Normal,58.68,0.00,58.68,Siaga Banjir IV,53.63,-0.91,,,
89,3/23/2023,8:00:00 AM,508.60,4.10,,"1,167.66",,,,,,,3.03,0.00,3.03,3.02,0.00,Normal,57.42,0.00,57.42,Siaga Banjir IV,54.39,-0.95,,,
90,3/23/2023,12:00:00 PM,508.60,4.10,,"1,167.66",,,,,,,3.03,0.00,3.03,3.03,0.00,Normal,57.42,0.00,57.42,Siaga Banjir IV,54.39,-0.95,,,
91,3/23/2023,4:00:00 PM,508.50,4.10,,"1,046.39",,,,,,,2.02,0.00,2.02,2.01,0.00,Normal,56.80,0.00,56.80,Siaga Banjir IV,54.78,-0.96,,,
92,3/23/2023,8:00:00 PM,508.50,4.10,,"1,046.39",,,,,,,2.02,0.00,2.02,2.02,0.00,Normal,56.80,0.00,56.80,Siaga Banjir IV,54.78,-0.96,,,
93,3/24/2023,8:00:00 AM,508.50,4.10,,"1,046.39",,,,,,,2.02,0.00,2.02,2.02,0.00,Normal,56.80,0.00,56.80,Siaga Banjir IV,54.78,-0.96,,,
94,3/24/2023,12:00:00 PM,508.50,4.10,,"1,046.39",,,,,,,2.02,0.00,2.02,2.02,0.00,Normal,56.80,0.00,56.80,Siaga Banjir IV,54.78,-0.96,,,
95,3/24/2023,4:00:00 PM,508.60,4.10,,"1,167.66",,,,,,,3.03,0.00,3.03,3.04,0.01,Normal,57.42,0.00,57.42,Siaga Banjir IV,54.39,-0.95,,,
96,3/24/2023,8:00:00 PM,508.60,4.10,,"1,167.66",,,,,,,3.03,0.00,3.03,3.03,0.00,Normal,57.42,0.00,57.42,Siaga Banjir IV,54.39,-0.95,,,
97,3/25/2023,8:00:00 AM,508.50,4.10,,"1,046.39",,,,,,,2.02,0.00,2.02,2.02,0.00,Normal,56.80,0.00,56.80,Siaga Banjir IV,54.78,-0.96,,,
98,3/25/2023,12:00:00 PM,508.47,4.10,,"1,010.01",,,,,,,1.72,0.00,1.72,1.71,0.00,Normal,56.61,0.00,56.61,Siaga Banjir IV,54.89,-0.97,,,
99,3/25/2023,4:00:00 PM,508.45,4.10,,985.75,,,,,,,1.52,0.00,1.52,1.51,0.00,Normal,56.48,0.00,56.48,Siaga Banjir IV,54.97,-0.97,,,
100,3/25/2023,8:00:00 PM,508.65,4.10,,"1,228.30",,,,,,,3.54,0.00,3.54,3.55,0.02,Normal,57.74,0.00,57.74,Siaga Banjir IV,54.20,-0.94,,,
101,3/26/2023,8:00:00 AM,508.48,4.10,,"1,022.14",,,,,,,1.82,0.00,1.82,1.81,0.00,Normal,56.67,0.00,56.67,Siaga Banjir IV,54.85,-0.97,,,
102,3/26/2023,12:00:00 PM,508.48,4.10,,"1,022.14",,,,,,,1.82,0.00,1.82,1.82,0.00,Normal,56.67,0.00,56.67,Siaga Banjir IV,54.85,-0.97,,,
103,3/26/2023,4:00:00 PM,511.10,4.10,,"9,252.37",,,,,,,33.67,0.00,33.67,34.24,0.57,Siaga Banjir IV,90.81,0.00,90.81,Siaga Banjir IV,57.14,-0.63,,,
104,3/26/2023,8:00:00 PM,511.10,4.10,,"9,252.37",,,,,,,33.67,0.00,33.67,33.67,0.00,Siaga Banjir IV,90.81,0.00,90.81,Siaga Banjir IV,57.14,-0.63,,,
105,3/27/2023,8:00:00 AM,508.60,4.10,,"1,167.66",,,,,,,3.03,0.00,3.03,2.84,0.00,Normal,57.42,0.00,57.42,Siaga Banjir IV,54.39,-0.95,,,
106,3/27/2023,12:00:00 PM,508.55,4.10,,"1,107.03",,,,,,,2.53,0.00,2.53,2.52,0.00,Normal,57.11,0.00,57.11,Siaga Banjir IV,54.58,-0.96,,,
107,3/27/2023,4:00:00 PM,508.55,4.10,,"1,107.03",,,,,,,2.53,0.00,2.53,2.53,0.00,Normal,57.11,0.00,57.11,Siaga Banjir IV,54.58,-0.96,,,
108,3/27/2023,8:00:00 PM,508.55,4.10,,"1,107.03",,,,,,,2.53,0.00,2.53,2.53,0.00,Normal,57.11,0.00,57.11,Siaga Banjir IV,54.58,-0.96,,,
109,3/28/2023,8:00:00 AM,508.40,4.10,,925.12,,,,,,,1.01,0.00,1.01,1.01,0.00,Normal,56.17,0.00,56.17,Siaga Banjir IV,55.16,-0.98,,,
110,3/28/2023,12:00:00 PM,508.40,4.10,,925.12,,,,,,,1.01,0.00,1.01,1.01,0.00,Normal,56.17,0.00,56.17,Siaga Banjir IV,55.16,-0.98,,,
111,3/28/2023,4:00:00 PM,508.42,4.10,,949.37,,,,,,,1.21,0.00,1.21,1.21,0.00,Normal,56.29,0.00,56.29,Siaga Banjir IV,55.08,-0.98,,,
112,3/28/2023,8:00:00 PM,508.42,4.10,,949.37,,,,,,,1.21,0.00,1.21,1.21,0.00,Normal,56.29,0.00,56.29,Siaga Banjir IV,55.08,-0.98,,,
113,3/29/2023,8:00:00 AM,508.40,4.10,,925.12,,,,,,,1.01,0.00,1.01,1.01,0.00,Normal,56.17,0.00,56.17,Siaga Banjir IV,55.16,-0.98,,,
114,3/29/2023,12:00:00 PM,508.40,4.10,,925.12,,,,,,,1.01,0.00,1.01,1.01,0.00,Normal,56.17,0.00,56.17,Siaga Banjir IV,55.16,-0.98,,,
115,3/29/2023,4:00:00 PM,508.50,4.10,,"1,046.39",,,,,,,2.02,0.00,2.02,2.03,0.01,Normal,56.80,0.00,56.80,Siaga Banjir IV,54.78,-0.96,,,
116,3/29/2023,8:00:00 PM,508.50,4.10,,"1,046.39",,,,,,,2.02,0.00,2.02,2.02,0.00,Normal,56.80,0.00,56.80,Siaga Banjir IV,54.78,-0.96,,,
117,3/30/2023,8:00:00 AM,508.46,4.10,,997.88,,,,,,,1.62,0.00,1.62,1.61,0.00,Normal,56.54,0.00,56.54,Siaga Banjir IV,54.93,-0.97,,,
118,3/30/2023,12:00:00 PM,508.40,4.10,,925.12,,,,,,,1.01,0.00,1.01,1.00,0.00,Normal,56.17,0.00,56.17,Siaga Banjir IV,55.16,-0.98,,,
119,3/30/2023,4:00:00 PM,508.45,4.10,,985.75,,,,,,,1.52,0.00,1.52,1.52,0.00,Normal,56.48,0.00,56.48,Siaga Banjir IV,54.97,-0.97,,,
120,3/30/2023,8:00:00 PM,508.45,4.10,,985.75,,,,,,,1.52,0.00,1.52,1.52,0.00,Normal,56.48,0.00,56.48,Siaga Banjir IV,54.97,-0.97,,,
121,3/31/2023,8:00:00 AM,508.45,4.10,,985.75,,,,,,,1.52,0.00,1.52,1.52,0.00,Normal,56.48,0.00,56.48,Siaga Banjir IV,54.97,-0.97,,,
122,3/31/2023,12:00:00 PM,508.40,4.10,,925.12,,,,,,,1.01,0.00,1.01,1.01,0.00,Normal,56.17,0.00,56.17,Siaga Banjir IV,55.16,-0.98,,,
123,3/31/2023,4:00:00 PM,508.40,4.10,,925.12,,,,,,,1.01,0.00,1.01,1.01,0.00,Normal,56.17,0.00,56.17,Siaga Banjir IV,55.16,-0.98,,,
124,3/31/2023,8:00:00 PM,508.40,4.10,,925.12,,,,,,,1.01,0.00,1.01,1.01,0.00,Normal,56.17,0.00,56.17,Siaga Banjir IV,55.16,-0.98,,,
125,4/1/2023,8:00:00 AM,508.40,3.90,,925.12,,,,,,,3.03,0.00,3.03,3.03,0.00,Normal,56.17,0.00,56.17,Siaga Banjir IV,53.14,-0.95,,,
126,4/1/2023,12:00:00 PM,508.48,3.90,,"1,022.14",,,,,,,3.84,0.00,3.84,3.84,0.01,Normal,56.67,0.00,56.67,Siaga Banjir IV,52.83,-0.93,,,
127,4/1/2023,4:00:00 PM,508.48,3.90,,"1,022.14",,,,,,,3.84,0.00,3.84,3.84,0.00,Normal,56.67,0.00,56.67,Siaga Banjir IV,52.83,-0.93,,,
128,4/1/2023,8:00:00 PM,508.40,3.90,,925.12,,,,,,,3.03,0.00,3.03,3.02,0.00,Normal,56.17,0.00,56.17,Siaga Banjir IV,53.14,-0.95,,,
129,4/2/2023,8:00:00 AM,508.40,3.90,,925.12,,,,,,,3.03,0.00,3.03,3.03,0.00,Normal,56.17,0.00,56.17,Siaga Banjir IV,53.14,-0.95,,,
130,4/2/2023,12:00:00 PM,508.40,3.90,,925.12,,,,,,,3.03,0.00,3.03,3.03,0.00,Normal,56.17,0.00,56.17,Siaga Banjir IV,53.14,-0.95,,,
131,4/2/2023,4:00:00 PM,508.35,3.90,,864.48,,,,,,,2.53,0.00,2.53,2.52,0.00,Normal,55.86,0.00,55.86,Siaga Banjir IV,53.33,-0.95,,,
132,4/2/2023,8:00:00 PM,508.35,3.90,,864.48,,,,,,,2.53,0.00,2.53,2.53,0.00,Normal,55.86,0.00,55.86,Siaga Banjir IV,53.33,-0.95,,,
133,4/3/2023,8:00:00 AM,508.40,3.90,,925.12,,,,,,,3.03,0.00,3.03,3.03,0.00,Normal,56.17,0.00,56.17,Siaga Banjir IV,53.14,-0.95,,,
